"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.943851837E0,-1.145371469E-3,-2.751945853E-1,-2.211330533E-1
1.960517774E0,1.094975099E-1,-2.086103261E-1,-1.980729103E-1
1.977183712E0,2.529743910E-1,-1.654679924E-1,-2.302196622E-1
1.993849649E0,3.339903057E-1,-2.138026655E-1,-2.838230431E-1
2.010515587E0,2.926805913E-1,-2.687041461E-1,-3.322340846E-1
2.027181524E0,1.482110620E-1,-2.673296928E-1,-3.433823586E-1
2.043847462E0,-3.061959706E-2,-2.153298408E-1,-3.428478539E-1
2.060513399E0,-1.612683088E-1,-1.521053314E-1,-3.597993553E-1
2.077179337E0,-2.590066791E-1,-6.352993846E-2,-3.721693754E-1
2.093845274E0,-3.336085379E-1,-1.275180187E-2,-3.194822669E-1
2.110511212E0,-3.524689674E-1,-1.740964688E-2,-2.485456020E-1
2.127177149E0,-3.089448512E-1,-8.743002266E-2,-1.844048053E-1
2.143843087E0,-2.134972364E-1,-1.058323234E-1,-1.311832070E-1
2.160509024E0,-1.698967665E-1,-6.162098423E-2,-9.766200930E-2
2.177174962E0,-1.468366235E-1,3.375028074E-2,-6.658425927E-2
2.193840899E0,-5.833758786E-2,2.196822464E-1,-4.161516204E-2
2.210506837E0,1.308014244E-1,3.578140438E-1,2.924515121E-2
2.227172774E0,3.539961278E-1,3.077994883E-1,1.153770834E-1
2.243838712E0,4.544070363E-1,1.487455666E-1,1.547778696E-1
2.260504649E0,3.530034721E-1,3.199404106E-2,1.945604384E-1
2.277170587E0,1.399643868E-1,6.452259421E-2,2.575558722E-1
2.293836524E0,9.926552884E-4,3.061196208E-1,3.482692838E-1
2.310502462E0,2.825249685E-3,5.929206014E-1,4.322631955E-1
2.327168399E0,9.880737960E-2,7.289907336E-1,4.805978537E-1
2.343834337E0,2.366337478E-1,6.675988436E-1,5.154935122E-1
2.360500274E0,3.505600393E-1,4.170679152E-1,5.218312144E-1
2.377166212E0,3.482692838E-1,2.976438701E-1,4.650971591E-1
2.393832149E0,1.217148080E-1,2.764163017E-1,4.826595485E-1
2.410498087E0,-1.201112866E-1,4.301251769E-1,5.274817348E-1
2.427164024E0,-2.161697745E-1,5.083158612E-1,6.004037261E-1
2.443829962E0,-1.478292793E-1,4.066068828E-1,6.300306916E-1
2.460495899E0,-6.383536756E-2,2.395353466E-1,5.876519084E-1
2.477161837E0,-8.460476995E-2,1.073594838E-1,5.361865759E-1
2.493827774E0,-1.884517819E-1,-2.878700197E-2,4.610501826E-1
2.510493712E0,-2.479347438E-1,-9.521854669E-2,3.527744114E-1
2.527159649E0,-2.045633495E-1,-1.010217592E-1,2.422078848E-1
2.543825587E0,-1.234710440E-1,-7.162389904E-2,1.677587330E-1
2.560491524E0,-7.742711157E-2,-8.910989761E-2,1.256854236E-1
2.577157462E0,-8.384118974E-2,-1.450040340E-1,9.789107740E-2
2.593823399E0,-1.053741723E-1,-1.339320987E-1,7.078395784E-2
2.610489337E0,-1.069776937E-1,-2.535088919E-2,2.374736778E-2
2.627155274E0,-9.162971377E-2,1.647807807E-1,9.850194678E-3
2.643821212E0,-4.902189970E-2,2.888626754E-1,2.237292193E-2
2.660487149E0,3.909534588E-2,2.287688553E-1,1.122464053E-2
2.677153087E0,1.191186309E-1,2.871064469E-2,-5.826122686E-2
2.693819024E0,1.419496983E-1,-2.291506529E-1,-1.537852138E-1
2.710484962E0,1.225547493E-1,-3.421606421E-1,-2.018144578E-1
2.727150899E0,3.802633286E-2,-2.735147178E-1,-1.475238502E-1
2.743816837E0,-3.627009690E-2,-1.799760312E-1,-1.017853469E-1
2.760482774E0,-4.077522457E-2,-1.922696829E-1,-8.933897316E-2
2.777148712E0,-1.078939885E-1,-3.871355653E-1,-1.728747338E-1
2.793814649E0,-5.551233515E-2,-4.198168218E-1,-2.156352699E-1
2.810480587E0,-6.322450191E-2,-5.749764442E-1,-3.710239828E-1
2.827146524E0,2.641990222E-2,-5.557342172E-1,-3.788888752E-1
2.843812462E0,1.750891209E-1,-5.031235218E-1,-4.099666178E-1
2.860478399E0,3.187187016E-1,-4.050796926E-1,-4.078285992E-1
2.877144337E0,3.469711840E-1,-3.810268939E-1,-4.499782622E-1
2.893810274E0,3.355174661E-1,-3.715584874E-1,-4.977784455E-1
2.910476212E0,3.050506115E-1,-3.451386094E-1,-5.349648595E-1
2.927142149E0,2.457203567E-1,-2.532034516E-1,-5.531380773E-1
2.943808087E0,1.340084672E-1,-1.267544478E-1,-5.652790070E-1
2.960474024E0,7.673988491E-2,-2.924515121E-2,-5.417606831E-1
2.977139962E0,9.094249457E-2,-1.043051630E-1,-5.309178233E-1
2.993805899E0,1.143080741E-1,-2.499200553E-1,-5.664243698E-1
3.010471837E0,1.062904745E-1,-3.162752390E-1,-6.185769439E-1
3.027137774E0,3.428478539E-2,-3.276526034E-1,-6.698895693E-1
3.043803712E0,-1.035415828E-1,-4.342485070E-1,-6.727148294E-1
3.060469649E0,-2.091448307E-1,-5.430588126E-1,-6.493492723E-1
3.077135587E0,-2.532034516E-1,-5.118283033E-1,-5.959749222E-1
3.093801524E0,-2.955058515E-1,-2.257145345E-1,-5.365683436E-1
3.110467462E0,-2.521344423E-1,-1.045342386E-1,-5.438987017E-1
3.127133399E0,-2.194531709E-1,-1.928042024E-1,-5.371028781E-1
3.143799337E0,-1.837175786E-1,-2.240346521E-1,-3.953058720E-1
3.160465274E0,-1.941786408E-1,-2.437350452E-1,-2.454912812E-1
3.177131212E0,-2.185368687E-1,2.527453005E-2,-1.527925581E-1
3.193797149E0,-2.041815519E-1,3.971384764E-1,-5.642863363E-2
3.210463087E0,-1.508836001E-1,2.914588451E-1,-5.627591908E-2
3.227129024E0,-2.142608166E-1,-2.672533318E-2,-1.752418280E-1
3.243794962E0,-2.917642891E-1,-2.022725940E-1,-3.155116439E-1
3.260460899E0,-3.236056268E-1,-1.891390085E-1,-4.233292937E-1
3.277126837E0,-3.439932168E-1,-6.910407543E-2,-4.632645845E-1
3.293792774E0,-3.996582925E-1,7.750347257E-2,-4.231002033E-1
3.310458712E0,-3.463603258E-1,1.180496216E-1,-4.546361268E-1
3.327124649E0,-2.623664141E-1,-1.208748668E-1,-3.087157905E-1
