"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.706926563E0,-8.856434822E-1,6.075675964E0,7.381857872E0
2.723592500E0,-1.016052365E0,5.401198864E0,6.556632996E0
2.740258438E0,-1.563709617E0,5.319842815E0,5.132604599E0
2.756924375E0,-2.551048040E0,5.311468124E0,4.520340919E0
2.773590313E0,-2.468794823E0,5.852844238E0,4.035794258E0
2.790256250E0,-2.523231506E0,5.769693375E0,4.439583302E0
2.806922188E0,-2.348256350E0,5.614758492E0,4.998905659E0
2.823588125E0,-2.045265198E0,5.410770416E0,4.984548569E0
2.840254063E0,-1.256830096E0,5.354239941E0,4.799404144E0
2.856920000E0,-1.467398524E0,6.507879257E0,4.653441906E0
2.873585938E0,-2.400001049E0,6.536293983E0,2.930609465E0
2.890251875E0,-3.458226919E0,5.467898846E0,4.915455818E0
2.906917813E0,-4.268197536E0,6.244967937E0,7.510771275E0
2.923583750E0,-4.394717693E0,6.735795975E0,8.732905388E0
2.940249688E0,-3.900001764E0,7.083652496E0,1.117597771E1
2.956915625E0,-2.527418852E0,6.923333168E0,1.172124195E1
2.973581563E0,-1.632503271E0,6.973881721E0,1.092921734E1
2.990247500E0,-1.657627940E0,6.673881531E0,9.364610672E0
3.006913438E0,-2.195115566E0,6.756433964E0,9.031708717E0
3.023579375E0,-1.380060434E0,7.059125900E0,9.328120232E0
3.040245313E0,8.557332158E-1,6.878767014E0,1.038485050E1
3.056911250E0,-5.249254704E-1,6.120242119E0,9.816853523E0
3.073577188E0,-3.053839803E-1,5.952445507E0,1.076500988E1
3.090243125E0,-9.750752151E-2,5.356632710E0,1.163270760E1
3.106909063E0,4.049852192E-1,4.939085007E0,1.208704472E1
3.123575000E0,1.039681435E0,4.564907551E0,1.229163074E1
3.140240938E0,1.067797065E0,4.425525665E0,1.288206005E1
3.156906875E0,1.229312643E-1,4.367798805E0,1.340309715E1
3.173572813E0,-9.059824944E-1,4.395615101E0,1.235833073E1
3.190238750E0,-1.159920812E0,4.133601189E0,9.922138214E0
3.206904688E0,-3.828516230E-2,4.206283092E0,8.181658745E0
3.223570625E0,1.562513232E0,4.575376034E0,7.424629688E0
3.240236563E0,2.301895380E0,5.282754421E0,6.909275532E0
3.256902500E0,1.256231904E0,5.052743912E0,5.994319916E0
3.273568438E0,1.609173268E-1,5.465506077E0,8.151748657E0
3.290234375E0,-1.707877219E-1,5.414359570E0,7.826025486E0
3.306900313E0,1.971087605E-1,4.946861744E0,7.022934437E0
3.323566250E0,8.132606149E-1,4.939085007E0,6.806982040E0
3.340232188E0,1.530210137E0,4.878366947E0,6.160321712E0
3.356898125E0,1.686640859E0,4.635495663E0,4.107878208E0
3.373564063E0,9.816554785E-1,4.908277512E0,5.673382282E0
3.390230000E0,6.346961856E-1,5.011467934E0,5.197509766E0
3.406895938E0,1.061815023E-1,5.141876698E0,4.763212681E0
3.423561875E0,-2.530409992E-1,5.237888813E0,4.508078098E0
3.440227813E0,-5.781657696E-1,5.353940487E0,4.715356350E0
3.456893750E0,-7.746763229E-1,5.854638577E0,5.170590401E0
3.473559688E0,-7.375875711E-1,6.214758396E0,5.274080276E0
3.490225625E0,-8.491529226E-1,6.567699909E0,5.456233978E0
3.506891563E0,-1.249950767E0,6.883552551E0,5.742774487E0
3.523557500E0,-1.888236165E0,7.050751209E0,6.090631008E0
3.540223438E0,-2.444567442E0,7.331010342E0,6.889534473E0
3.556889375E0,-2.500798702E0,7.725227833E0,6.964609623E0
3.573555313E0,-1.931905150E0,8.028517723E0,6.569494724E0
3.590221250E0,-1.624128342E0,8.461020470E0,6.783652306E0
3.606887188E0,-1.858624935E0,8.783752441E0,7.598109245E0
